,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
5888,2063,ssp245,NorESM2-MM,1.976432621264184,1.8229316111834322
5889,2064,ssp245,NorESM2-MM,1.8984992644254302,1.7489599735670711
5890,2065,ssp245,NorESM2-MM,1.8392448966453596,1.6835986087471408
5891,2066,ssp245,NorESM2-MM,1.8306194138038652,1.666739641850525
5892,2067,ssp245,NorESM2-MM,1.9312374698401853,1.7702971728852561
5893,2068,ssp245,NorESM2-MM,2.0470492930669235,1.871212718292424
5894,2069,ssp245,NorESM2-MM,2.1624544525048512,1.9685529785414837
5895,2070,ssp245,NorESM2-MM,2.2719029146662515,2.0777265424121594
5896,2071,ssp245,NorESM2-MM,2.374303597566457,2.1858664728428323
5897,2072,ssp245,NorESM2-MM,2.350576559846924,2.1591231620074263
5898,2073,ssp245,NorESM2-MM,2.3186156606215027,2.1383456746658935
5899,2074,ssp245,NorESM2-MM,2.3328011966470923,2.164087718186029
5900,2075,ssp245,NorESM2-MM,2.3386971349696815,2.1653778342647185
5901,2076,ssp245,NorESM2-MM,2.307860685882368,2.1294722298624107
5902,2077,ssp245,NorESM2-MM,2.371458604657709,2.187851470023045
5903,2078,ssp245,NorESM2-MM,2.456861546849509,2.2614942940684655
5904,2079,ssp245,NorESM2-MM,2.4782252339946975,2.2730965638192067
5905,2080,ssp245,NorESM2-MM,2.483941222900877,2.2745471861698503
5906,2081,ssp245,NorESM2-MM,2.518676457919132,2.297410930140144
5907,2082,ssp245,NorESM2-MM,2.5251135227284047,2.2997604457697385
5908,2083,ssp245,NorESM2-MM,2.522749007127728,2.2952132063241004
5909,2084,ssp245,NorESM2-MM,2.543847772622498,2.3175393119558776
5910,2085,ssp245,NorESM2-MM,2.5438753371770733,2.316428450845108
5911,2086,ssp245,NorESM2-MM,2.5794639487336304,2.357307204797298
5912,2087,ssp245,NorESM2-MM,2.5945247693667777,2.371094987591507
